id,original_title,popularity,release_date,title,vote_average,vote_count,month,day_of_week
124804,Back From Hell: A Tribute to Sam Kinison,0.684,2010-02-06,Back From Hell: A Tribute to Sam Kinison,6.2,3,2,Saturday
81526,Jane's Addiction: Live Voodoo,0.684,2010-08-31,Jane's Addiction: Live Voodoo,6.2,3,8,Tuesday
66651,Metallica: Fan Can 6,0.684,2010-11-26,Metallica: Fan Can 6,6.2,3,11,Friday
101182,In Session: Albert King With Stevie Ray Vaughan,0.684,2010-11-09,In Session: Albert King With Stevie Ray Vaughan,6.0,3,11,Tuesday
46506,Follow Me,0.684,2010-01-26,Follow Me,6.0,3,1,Tuesday
35273,Jonatan Spang: Super Meget Spang,0.684,2010-03-30,Jonatan Spang: Super Meget Spang,6.0,3,3,Tuesday
286486,One Night Stand,0.684,2010-07-07,One Night Stand,5.8,3,7,Wednesday
56447,The Nino Brown Story: Part II,0.684,2010-03-23,The Nino Brown Story: Part II,5.8,3,3,Tuesday
113190,Beyond Gay: The Politics of Pride,0.684,2010-03-26,Beyond Gay: The Politics of Pride,5.2,3,3,Friday
37668,Mega Man,0.684,2010-05-07,Mega Man,5.0,3,5,Friday
102743,Gabi on the Roof in July,0.684,2010-02-27,Gabi on the Roof in July,4.8,3,2,Saturday
339231,Robin: The Story of Dick Grayson,0.684,2010-07-27,Robin: The Story of Dick Grayson,4.7,3,7,Tuesday
247987,American Sunset,0.684,2010-01-25,American Sunset,4.3,3,1,Monday
68243,One Week Job,0.684,2010-06-28,One Week Job,4.3,3,6,Monday
87081,Prince of Broadway,0.6829999999999999,2010-09-03,Prince of Broadway,6.7,3,9,Friday
293462,The Kennedy Detail,0.674,2010-12-02,The Kennedy Detail,5.0,1,12,Thursday
105891,Kawa,0.67,2010-10-17,Kawa,6.5,2,10,Sunday
72469,National Geographic Drugs Inc Marijuana,0.669,2010-07-12,National Geographic Drugs Inc Marijuana,7.0,2,7,Monday
84653,The Candy Shop,0.669,2010-12-07,The Candy Shop,6.5,2,12,Tuesday
52733,David Garrett: Rock Symphonies,0.667,2010-10-05,David Garrett: Rock Symphonies,6.0,1,10,Tuesday
35791,Resident Evil: Afterlife,0.667,2010-09-10,Resident Evil: Afterlife,5.9,2119,9,Friday
45319,Ghetto Physics: Will the Real Pimps and Hos Please Stand Up?,0.6659999999999999,2010-10-08,Ghetto Physics: Will the Real Pimps and Hos Please Stand Up?,10.0,1,10,Friday
265647,Weird: The Al Yankovic Story,0.665,2010-03-22,Weird: The Al Yankovic Story,10.0,1,3,Monday
211249,Christina,0.665,2010-11-04,Christina,9.0,1,11,Thursday
297631,Spark of Being,0.665,2010-11-19,Spark of Being,7.0,1,11,Friday
114219,Straight to Hell Returns,0.665,2010-01-01,Straight to Hell Returns,2.0,1,1,Friday
68645,"Projekt dziecko, czyli ojciec potrzebny od zaraz",0.665,2010-09-06,"Projekt dziecko, czyli ojciec potrzebny od zaraz",2.0,1,9,Monday
47864,Salesman Pete and the Amazing Stone from Outer Space!,0.664,2010-09-20,Salesman Pete and the Amazing Stone from Outer Space!,5.0,2,9,Monday
50706,Alice Cooper: Theatre of Death,0.6629999999999999,2010-10-01,Alice Cooper: Theatre of Death,4.0,2,10,Friday
63009,Pearl Jam – Live in Texas (DVD),0.662,2010-06-21,Pearl Jam – Live in Texas (DVD),8.0,2,6,Monday
65824,Jamie Kennedy: Uncomfortable,0.662,2010-11-06,Jamie Kennedy: Uncomfortable,7.3,2,11,Saturday
56296,Deuce of Spades,0.662,2010-06-01,Deuce of Spades,5.3,2,6,Tuesday
91968,Quadrangle,0.662,2010-03-30,Quadrangle,3.8,2,3,Tuesday
46252,Rust,0.66,2010-10-07,Rust,8.0,1,10,Thursday
132275,The Holy Roller,0.66,2010-09-25,The Holy Roller,5.0,1,9,Saturday
82079,Sons of Perdition,0.655,2010-04-24,Sons of Perdition,6.6,9,4,Saturday
57027,The Art of the Dynamic Shotgun,0.654,2010-11-11,The Art of the Dynamic Shotgun,9.5,2,11,Thursday
374898,The Oxbow Watermen Experience,0.654,2010-09-01,The Oxbow Watermen Experience,8.3,2,9,Wednesday
51479,Agents of Secret Stuff,0.654,2010-11-23,Agents of Secret Stuff,7.4,9,11,Tuesday
334668,WWII in HD: The Air War,0.654,2010-11-10,WWII in HD: The Air War,7.3,2,11,Wednesday
343719,A Dream in Hanoi,0.654,2009-11-16,A Dream in Hanoi,7.0,2,11,Monday
291069,Videosyncracy,0.654,2010-09-07,Videosyncracy,6.5,2,9,Tuesday
237641,One Wish,0.654,2010-11-26,One Wish,6.0,2,11,Friday
156209,Agua Fria de Mar,0.654,2010-10-10,Cold Water of the Sea,6.0,2,10,Sunday
87824,Leading Ladies,0.654,2010-11-06,Leading Ladies,6.0,2,11,Saturday
81528,Detroit: Ville Sauvage,0.654,2010-11-29,Detroit: Wild City,6.0,2,11,Monday
77259,Jews and Baseball: An American Love Story,0.654,2010-01-01,Jews and Baseball: An American Love Story,6.0,2,1,Friday
64159,Boathouse Detectives,0.654,2010-01-01,Boathouse Detectives,6.0,2,1,Friday
300426,Mary and Bill,0.654,2010-12-31,Mary and Bill,5.3,2,12,Friday
286489,Jack + Jill,0.654,2010-06-05,Jack + Jill,5.3,2,6,Saturday
267296,Andy Mckee: Joyland,0.654,2010-03-23,Andy Mckee: Joyland,5.3,2,3,Tuesday
138076,Video Games Live: Level 2,0.654,2010-10-19,Video Games Live: Level 2,5.3,2,10,Tuesday
69967,Thuy Nga Paris By Night 100,0.654,2010-10-07,Thuy Nga Paris By Night 100,5.3,2,10,Thursday
